id,adresse IP,site,temps passé
148,16.204.24.206,TikTok,264.5
149,16.204.24.206,LinkedIn,181.7
150,11.61.156.239,LinkedIn,135.6
151,11.61.156.239,Instagram,248.6
152,11.61.156.239,Snapchat,253.1
153,11.61.156.239,Pinterest,127.2
154,11.61.156.239,YouTube,460.4
155,11.61.156.239,WhatsApp,292.9
156,187.91.160.204,Facebook,141.4
157,187.91.160.204,LinkedIn,180.3
158,187.91.160.204,Pinterest,123.7
159,187.91.160.204,YouTube,589.4
160,187.91.160.204,Twitch,93.6
161,187.91.160.204,QQ,46.1
162,187.91.160.204,Facebook Messenger,52.7
163,187.91.160.204,Instagram,339.8
164,82.230.105.16,Pinterest,56.1
165,82.230.105.16,WhatsApp,251.3
166,82.230.105.16,YouTube,419.3
167,214.252.114.83,X,140.9
168,214.252.114.83,Pinterest,106.2
169,214.252.114.83,Facebook Messenger,135.8
170,214.252.114.83,WeChat,85.1
171,0.201.97.73,Facebook Messenger,120.3
172,0.201.97.73,TikTok,284.4
173,0.201.97.73,QQ,94.9
174,0.201.97.73,Snapchat,163.9
175,0.201.97.73,Twitch,136.1
176,0.201.97.73,X,108.6
177,0.201.97.73,Pinterest,131.4
178,248.152.33.118,TikTok,313.3
179,71.207.249.109,Snapchat,211.4
180,71.207.249.109,TikTok,350.4
181,71.207.249.109,Twitch,136.8
182,71.207.249.109,WhatsApp,484.8
183,71.207.249.109,Facebook,163.4
184,71.207.249.109,QQ,41.7
185,96.61.59.100,Instagram,281.7
186,96.61.59.100,WhatsApp,334.3
187,96.61.59.100,TikTok,417.2
188,96.61.59.100,Facebook Messenger,115.4
189,96.61.59.100,Twitch,72.5
190,96.61.59.100,X,170.5
191,96.61.59.100,LinkedIn,155.6
192,167.239.36.98,Twitch,111.4
193,167.239.36.98,WeChat,111.5
194,167.239.36.98,Snapchat,272.9
195,167.239.36.98,TikTok,297.9
196,167.239.36.98,WhatsApp,197.4
197,167.239.36.98,Instagram,311.6
198,167.239.36.98,X,152.0
199,188.128.146.178,QQ,58.8
200,188.128.146.178,Snapchat,189.4
201,188.128.146.178,X,135.6
202,188.128.146.178,Instagram,292.0
203,188.128.146.178,WhatsApp,479.4
204,188.128.146.178,Pinterest,91.1
205,188.128.146.178,Facebook,198.1
206,188.128.146.178,Facebook Messenger,181.9
207,176.214.0.32,WeChat,90.9
208,176.214.0.32,Instagram,319.7
209,176.214.0.32,LinkedIn,160.7
210,212.222.174.138,WhatsApp,410.1
211,202.140.40.103,Pinterest,114.5
212,202.140.40.103,Twitch,58.2
213,202.140.40.103,Snapchat,236.1
214,180.233.105.103,Pinterest,123.8
215,180.233.105.103,Facebook,73.3
216,180.233.105.103,TikTok,280.8
217,180.233.105.103,Facebook Messenger,158.8
218,180.233.105.103,Snapchat,225.7
219,180.233.105.103,Twitch,124.8
220,180.233.105.103,WeChat,87.2
221,180.233.105.103,LinkedIn,150.2
222,165.42.69.84,WeChat,89.4
223,165.42.69.84,Facebook Messenger,77.8
224,165.42.69.84,TikTok,297.1
225,165.42.69.84,YouTube,371.9
226,165.42.69.84,LinkedIn,98.6
227,165.42.69.84,X,119.1
228,165.42.69.84,Facebook,85.9
229,31.10.215.99,WeChat,98.0
230,31.10.215.99,YouTube,552.2
231,31.10.215.99,WhatsApp,315.6
232,31.10.215.99,Instagram,373.6
233,31.10.215.99,Twitch,84.2
234,23.10.162.239,LinkedIn,165.8
235,23.10.162.239,Pinterest,77.3
236,23.10.162.239,Twitch,115.3
237,23.10.162.239,Instagram,266.1
238,23.10.162.239,Facebook,167.2
239,23.10.162.239,Snapchat,338.5
240,170.215.113.217,WeChat,126.8
241,170.215.113.217,X,167.6
242,170.215.113.217,Pinterest,99.0
243,170.215.113.217,Instagram,337.2
244,170.215.113.217,WhatsApp,231.3
245,170.215.113.217,Facebook,145.4
246,170.215.113.217,QQ,41.3
247,76.76.236.17,Instagram,154.1
248,76.76.236.17,YouTube,579.0
249,76.76.236.17,X,155.9
250,130.4.198.95,YouTube,429.0
251,130.4.198.95,WhatsApp,339.1
252,130.4.198.95,Instagram,245.1
253,130.4.198.95,QQ,59.5
254,130.4.198.95,Snapchat,187.3
255,37.13.207.58,Pinterest,96.5
256,37.13.207.58,WhatsApp,371.8
257,37.13.207.58,Snapchat,278.1
258,37.13.207.58,Facebook Messenger,199.7
259,37.13.207.58,LinkedIn,84.0
260,37.13.207.58,Instagram,235.3
261,37.13.207.58,Twitch,88.6
262,255.219.142.228,QQ,35.7
263,255.219.142.228,Facebook Messenger,166.3
264,255.219.142.228,Twitch,126.3
265,255.219.142.228,Snapchat,198.1
266,255.219.142.228,X,163.4
267,255.219.142.228,WhatsApp,358.3
268,255.219.142.228,YouTube,555.1
269,158.137.251.40,Facebook,169.6
270,158.137.251.40,Facebook Messenger,164.6
271,152.103.130.235,Snapchat,337.4
272,152.103.130.235,Instagram,245.5
273,152.103.130.235,WhatsApp,343.9
274,152.103.130.235,LinkedIn,172.8
275,131.59.141.240,Facebook,148.0
276,131.59.141.240,Instagram,305.8
277,150.110.229.115,Pinterest,130.0
278,150.110.229.115,WhatsApp,258.9
279,150.110.229.115,Facebook,168.4
280,150.110.229.115,LinkedIn,162.1
281,150.110.229.115,Snapchat,123.6
282,150.110.229.115,QQ,49.3
283,112.41.78.83,Twitch,109.6
284,112.41.78.83,LinkedIn,165.4
285,37.159.16.65,LinkedIn,164.1
286,37.159.16.65,QQ,59.4
287,37.159.16.65,X,149.3
288,222.250.214.172,WeChat,142.8
289,222.250.214.172,Facebook,168.9
290,222.250.214.172,X,142.0
291,222.250.214.172,Instagram,326.3
292,222.250.214.172,Snapchat,170.5
293,222.250.214.172,Facebook Messenger,133.6
294,222.250.214.172,LinkedIn,112.6
295,55.94.166.170,Instagram,467.7
296,55.94.166.170,Snapchat,278.9
297,194.171.37.200,Snapchat,357.0
298,194.171.37.200,YouTube,437.6
299,194.171.37.200,LinkedIn,190.8
300,194.171.37.200,Pinterest,67.6
301,194.171.37.200,Facebook,223.2
302,194.171.37.200,Facebook Messenger,195.5
303,184.8.241.91,Twitch,110.5
304,184.8.241.91,YouTube,470.2
305,184.8.241.91,Facebook,183.8
306,184.8.241.91,QQ,69.7
307,184.8.241.91,X,169.7
308,184.8.241.91,TikTok,276.7
309,7.115.24.15,Facebook,148.4
310,7.115.24.15,Instagram,225.9
311,237.30.41.54,YouTube,537.4
312,237.30.41.54,Facebook Messenger,138.8
313,237.30.41.54,Twitch,172.7
314,132.146.161.181,WhatsApp,327.3
315,132.146.161.181,QQ,51.7
316,132.146.161.181,Facebook Messenger,155.9
317,80.132.33.6,WhatsApp,300.7
318,80.132.33.6,LinkedIn,96.0
319,80.132.33.6,X,156.7
320,91.124.70.89,Pinterest,145.4
321,91.124.70.89,YouTube,493.9
322,91.124.70.89,Twitch,68.5
323,91.124.70.89,WhatsApp,328.6
324,91.124.70.89,Snapchat,104.9
325,91.124.70.89,Facebook,111.1
326,91.124.70.89,QQ,49.5
327,41.193.119.59,Instagram,246.4
328,41.193.119.59,Facebook,126.2
329,41.193.119.59,Pinterest,112.6
330,41.193.119.59,Facebook Messenger,164.0
331,41.193.119.59,WeChat,88.3
332,41.193.119.59,QQ,23.1
333,22.166.56.104,Pinterest,119.1
334,22.166.56.104,QQ,37.7
335,22.166.56.104,Snapchat,249.4
336,182.128.193.131,Facebook Messenger,128.7
337,182.128.193.131,WhatsApp,256.9
338,182.128.193.131,Facebook,154.7
339,2.218.0.241,WhatsApp,220.9
340,2.218.0.241,Snapchat,187.3
341,2.218.0.241,Pinterest,94.4
342,2.218.0.241,QQ,61.3
343,2.218.0.241,X,147.2
344,2.218.0.241,Facebook Messenger,75.9
345,2.218.0.241,Twitch,100.8
346,2.218.0.241,Instagram,459.0
347,155.165.87.158,Facebook Messenger,118.2
348,155.165.87.158,TikTok,450.8
349,200.223.169.172,TikTok,391.8
350,200.223.169.172,X,126.7
351,200.223.169.172,QQ,70.1
352,200.223.169.172,Facebook,130.2
353,200.223.169.172,WeChat,128.2
354,200.223.169.172,WhatsApp,285.2
355,146.215.127.31,Snapchat,170.5
356,146.215.127.31,Facebook Messenger,165.7
357,146.215.127.31,X,187.3
358,146.215.127.31,WhatsApp,352.1
359,77.101.0.56,Snapchat,286.1
360,175.48.30.61,QQ,43.2
361,175.48.30.61,Twitch,127.4
362,175.48.30.61,Snapchat,204.4
363,11.142.42.85,Instagram,301.2
364,11.142.42.85,TikTok,333.3
365,11.142.42.85,LinkedIn,205.3
366,11.142.42.85,YouTube,495.3
367,2.0.253.113,Instagram,302.6
368,2.0.253.113,TikTok,244.7
369,2.0.253.113,Facebook Messenger,141.0
370,2.0.253.113,X,79.2
371,2.0.253.113,Facebook,119.4
372,2.0.253.113,LinkedIn,145.1
373,2.0.253.113,WhatsApp,404.6
374,198.83.23.206,Instagram,171.2
375,198.83.23.206,YouTube,319.2
376,198.83.23.206,WhatsApp,370.5
377,198.83.23.206,LinkedIn,180.6
378,198.83.23.206,QQ,40.2
379,198.83.23.206,X,163.8
380,198.83.23.206,TikTok,328.5
381,163.128.234.243,TikTok,445.7
382,163.128.234.243,Instagram,314.2
383,163.128.234.243,Pinterest,103.4
384,163.128.234.243,YouTube,601.6
385,163.128.234.243,WhatsApp,325.4
386,163.128.234.243,Facebook,182.0
387,163.128.234.243,Facebook Messenger,186.5
388,163.128.234.243,WeChat,110.6
389,135.51.72.38,X,177.0
390,135.51.72.38,Facebook Messenger,123.5
391,135.51.72.38,Facebook,99.7
392,135.51.72.38,LinkedIn,96.4
393,135.51.72.38,WhatsApp,287.0
394,135.51.72.38,TikTok,272.0
395,165.38.96.245,TikTok,264.3
396,165.38.96.245,Facebook Messenger,70.1
397,165.38.96.245,Twitch,147.5
398,165.38.96.245,WeChat,127.3
399,165.38.96.245,Facebook,131.7
400,24.6.49.141,Facebook,116.0
401,24.6.49.141,WeChat,82.5
402,24.6.49.141,QQ,58.0
403,24.6.49.141,Instagram,219.1
404,24.6.49.141,Pinterest,84.3
405,24.6.49.141,X,173.5
406,24.6.49.141,LinkedIn,123.0
407,24.6.49.141,YouTube,355.4
408,11.147.35.55,Instagram,256.3
409,11.147.35.55,TikTok,276.9
410,11.147.35.55,LinkedIn,133.5
411,11.147.35.55,Twitch,61.1
412,11.147.35.55,WeChat,115.2
413,11.147.35.55,Facebook Messenger,154.1
414,11.147.35.55,Pinterest,67.6
415,11.147.35.55,QQ,68.0
416,213.117.65.11,X,284.9
417,146.111.46.249,QQ,60.1
418,146.111.46.249,YouTube,351.6
419,146.111.46.249,Snapchat,293.0
420,146.111.46.249,Pinterest,75.6
421,171.42.45.32,TikTok,361.7
422,171.42.45.32,Snapchat,204.4
423,171.42.45.32,Pinterest,95.7
424,171.42.45.32,Instagram,326.6
425,171.42.45.32,Twitch,80.2
426,119.170.86.91,Twitch,71.2
427,119.170.86.91,TikTok,351.3
428,119.170.86.91,Instagram,222.6
429,119.170.86.91,WeChat,151.1
430,194.180.163.136,Facebook,130.8
431,59.199.105.135,WhatsApp,340.0
432,32.69.217.128,LinkedIn,144.2
433,32.69.217.128,Facebook Messenger,137.4
434,233.153.210.177,LinkedIn,153.2
435,233.153.210.177,TikTok,327.0
436,233.153.210.177,WeChat,82.0
437,233.153.210.177,YouTube,638.1
438,233.153.210.177,QQ,30.5
439,233.153.210.177,Pinterest,139.7
440,233.153.210.177,Snapchat,217.6
441,233.153.210.177,Facebook Messenger,175.8
442,117.222.176.7,Twitch,103.5
443,117.222.176.7,QQ,35.2
444,117.222.176.7,Facebook Messenger,136.7
445,117.222.176.7,X,122.0
446,117.222.176.7,YouTube,728.4
447,117.222.176.7,TikTok,370.4
448,44.231.228.248,LinkedIn,114.3
449,44.231.228.248,Snapchat,209.3
450,44.231.228.248,Facebook,144.6
451,44.231.228.248,Pinterest,89.6
452,44.231.228.248,WeChat,89.6
453,191.134.207.132,QQ,52.1
454,191.134.207.132,Facebook,172.1
455,191.134.207.132,X,133.6
456,191.134.207.132,Snapchat,302.1
457,191.134.207.132,WhatsApp,246.2
458,191.134.207.132,Instagram,262.2
459,191.134.207.132,Twitch,89.9
460,191.134.207.132,TikTok,306.7
461,53.154.225.250,Snapchat,200.8
462,53.154.225.250,WhatsApp,266.1
463,53.154.225.250,WeChat,95.0
464,53.154.225.250,TikTok,295.9
465,53.154.225.250,QQ,50.0
466,53.154.225.250,LinkedIn,117.7
467,53.154.225.250,Pinterest,101.4
468,53.154.225.250,Twitch,123.7
469,214.29.194.144,Facebook,167.7
470,214.29.194.144,TikTok,341.6
471,214.29.194.144,LinkedIn,140.4
472,214.29.194.144,YouTube,686.8
473,214.29.194.144,QQ,52.7
474,214.29.194.144,WeChat,48.3
475,214.29.194.144,WhatsApp,339.6
476,214.29.194.144,Snapchat,213.5
477,28.204.232.108,X,119.5
478,28.204.232.108,WeChat,107.0
479,28.204.232.108,Facebook,196.9
480,28.204.232.108,YouTube,629.2
481,28.204.232.108,Snapchat,249.3
482,28.140.221.65,WeChat,106.6
483,28.140.221.65,Instagram,525.5
484,28.140.221.65,WhatsApp,385.9
485,28.140.221.65,Snapchat,205.7
486,140.67.204.254,Instagram,366.1
487,189.252.165.149,QQ,65.4
488,189.252.165.149,TikTok,330.3
489,160.113.114.64,YouTube,503.7
490,16.196.41.96,X,113.0
491,16.196.41.96,Pinterest,50.8
492,16.196.41.96,Facebook Messenger,186.9
493,181.42.125.230,WeChat,131.2
494,181.42.125.230,LinkedIn,125.3
495,181.42.125.230,WhatsApp,297.1
496,181.42.125.230,YouTube,305.3
497,181.42.125.230,Instagram,324.1
498,181.42.125.230,Facebook Messenger,128.0
499,181.42.125.230,QQ,43.5
500,48.139.252.173,YouTube,385.2
501,48.139.252.173,Facebook,156.1
502,48.139.252.173,WhatsApp,258.5
503,48.139.252.173,WeChat,95.1
504,169.125.196.157,YouTube,687.9
505,169.125.196.157,X,171.3
506,169.125.196.157,Twitch,101.7
507,169.125.196.157,WeChat,80.8
508,169.125.196.157,Snapchat,265.0
509,169.125.196.157,QQ,32.8
510,169.125.196.157,TikTok,433.8
511,225.101.248.117,WhatsApp,205.0
512,225.101.248.117,TikTok,284.8
513,225.101.248.117,X,187.6
514,131.102.172.2,LinkedIn,189.1
515,131.102.172.2,Pinterest,103.1
516,131.102.172.2,Snapchat,334.1
517,131.102.172.2,QQ,44.3
518,78.102.77.27,TikTok,234.8
519,78.102.77.27,Snapchat,272.8
520,78.102.77.27,YouTube,454.5
521,78.102.77.27,Twitch,114.3
522,78.102.77.27,WeChat,131.4
523,204.230.96.32,WeChat,82.5
524,204.230.96.32,Pinterest,91.4
525,204.230.96.32,Instagram,270.6
526,204.230.96.32,X,70.5
527,204.230.96.32,LinkedIn,186.8
528,204.230.96.32,QQ,28.2
529,204.230.96.32,YouTube,323.7
530,204.230.96.32,Snapchat,274.3
531,10.114.239.237,WhatsApp,175.6
532,10.114.239.237,Facebook,173.0
533,41.89.115.51,TikTok,415.9
534,41.89.115.51,X,136.5
535,41.89.115.51,Twitch,101.9
536,41.89.115.51,QQ,21.7
537,41.89.115.51,Snapchat,269.3
538,42.86.91.254,QQ,56.2
539,42.86.91.254,Facebook Messenger,130.8
540,42.86.91.254,Instagram,165.5
541,42.86.91.254,Pinterest,80.1
542,42.86.91.254,WeChat,107.0
543,42.86.91.254,WhatsApp,239.4
544,42.86.91.254,LinkedIn,97.9
545,38.118.79.253,WeChat,121.6
546,38.118.79.253,Facebook Messenger,194.2
547,38.118.79.253,X,137.3
548,38.118.79.253,YouTube,487.3
549,38.118.79.253,Pinterest,45.5
550,38.118.79.253,Instagram,272.6
551,38.118.79.253,TikTok,170.3
552,56.138.119.40,LinkedIn,119.1
553,56.138.119.40,Snapchat,175.0
554,56.138.119.40,Pinterest,120.1
555,83.61.13.49,TikTok,225.0
556,83.61.13.49,Facebook,139.4
557,83.61.13.49,LinkedIn,158.5
558,199.237.200.76,Twitch,117.7
559,199.237.200.76,YouTube,781.4
560,199.237.200.76,Facebook,158.1
561,199.237.200.76,WhatsApp,183.9
562,199.237.200.76,QQ,35.0
563,199.237.200.76,X,171.1
564,243.182.253.30,Snapchat,263.7
565,132.171.146.172,TikTok,407.9
566,132.171.146.172,Twitch,101.2
567,14.237.42.83,Instagram,388.0
568,14.237.42.83,QQ,60.1
569,14.237.42.83,LinkedIn,163.3
570,14.237.42.83,X,212.6
571,14.237.42.83,Facebook,162.6
572,32.1.178.78,Facebook Messenger,155.4
573,32.1.178.78,Snapchat,329.0
574,32.1.178.78,Facebook,65.4
575,32.1.178.78,X,79.8
576,32.1.178.78,LinkedIn,97.0
577,59.241.136.14,TikTok,315.1
578,93.114.33.87,Facebook,156.1
579,93.114.33.87,Pinterest,147.1
580,203.233.180.65,Snapchat,287.8
581,203.233.180.65,Facebook,159.2
582,203.233.180.65,Instagram,287.3
583,203.233.180.65,Twitch,119.6
584,203.233.180.65,Facebook Messenger,214.0
585,203.233.180.65,X,183.1
586,203.233.180.65,Pinterest,141.3
587,169.131.41.129,X,153.0
588,169.131.41.129,LinkedIn,117.1
589,169.131.41.129,WhatsApp,338.0
590,169.131.41.129,Snapchat,199.5
591,169.131.41.129,Pinterest,95.5
592,169.131.41.129,WeChat,78.2
593,169.131.41.129,Instagram,277.6
594,169.131.41.129,TikTok,438.3
595,214.139.214.242,Pinterest,90.3
596,214.139.214.242,LinkedIn,134.6
597,214.139.214.242,Snapchat,209.2
598,92.48.213.29,WeChat,133.3
599,92.48.213.29,WhatsApp,383.3
600,92.48.213.29,Twitch,135.3
601,132.194.25.158,Snapchat,272.9
602,132.194.25.158,Pinterest,123.6
603,132.194.25.158,Instagram,263.1
604,132.194.25.158,Facebook Messenger,58.9
605,132.194.25.158,Twitch,107.1
606,132.194.25.158,LinkedIn,158.6
607,107.233.106.206,Snapchat,249.0
608,107.233.106.206,TikTok,317.3
609,107.233.106.206,Facebook,187.2
610,107.233.106.206,Pinterest,134.9
611,107.233.106.206,Facebook Messenger,158.7
612,107.233.106.206,QQ,48.9
613,0.157.174.135,Facebook,131.0
614,0.157.174.135,Facebook Messenger,104.4
615,0.157.174.135,Snapchat,359.1
616,0.157.174.135,X,162.6
617,0.157.174.135,YouTube,604.8
618,0.157.174.135,Twitch,114.0
619,30.32.225.47,X,141.9
620,172.117.165.173,Instagram,335.6
621,172.117.165.173,Pinterest,76.3
622,172.117.165.173,YouTube,457.7
623,162.222.5.169,Instagram,324.0
624,162.222.5.169,LinkedIn,184.0
625,162.222.5.169,TikTok,282.1
626,130.153.34.197,QQ,43.1
627,243.110.92.252,Instagram,271.6
628,243.110.92.252,WhatsApp,299.6
629,243.110.92.252,YouTube,516.8
630,243.110.92.252,Pinterest,58.4
631,158.115.203.237,YouTube,656.5
632,212.100.190.203,YouTube,305.9
633,212.100.190.203,WhatsApp,344.8
634,212.100.190.203,Twitch,60.1
635,212.100.190.203,QQ,47.6
636,212.100.190.203,Facebook,193.1
637,212.100.190.203,Pinterest,136.6
638,212.100.190.203,LinkedIn,94.6
639,121.191.152.80,QQ,59.0
640,121.191.152.80,LinkedIn,140.9
641,121.191.152.80,Snapchat,130.4
642,121.191.152.80,X,177.2
643,121.191.152.80,Pinterest,115.4
644,121.191.152.80,YouTube,364.2
645,121.191.152.80,Facebook Messenger,102.5
646,121.191.152.80,Twitch,72.9
647,87.144.155.217,X,157.0
648,87.144.155.217,Facebook Messenger,136.8
649,87.144.155.217,Twitch,100.8
650,87.144.155.217,TikTok,388.2
651,87.144.155.217,WhatsApp,294.6
652,87.144.155.217,YouTube,616.6
653,87.144.155.217,QQ,56.5
654,87.144.155.217,Facebook,171.1
655,182.81.236.150,WhatsApp,317.3
656,182.81.236.150,Pinterest,135.5
657,182.81.236.150,YouTube,515.4
658,182.81.236.150,Facebook,173.1
659,182.81.236.150,WeChat,107.5
660,85.216.227.176,QQ,41.4
661,85.216.227.176,Snapchat,260.0
662,85.216.227.176,Instagram,264.5
663,85.216.227.176,X,144.9
664,85.216.227.176,YouTube,527.7
665,85.216.227.176,Twitch,89.9
666,85.216.227.176,Facebook Messenger,79.5
667,85.216.227.176,Pinterest,108.1
668,87.197.222.82,Instagram,333.2
669,87.197.222.82,WeChat,90.3
670,87.197.222.82,Facebook Messenger,88.3
671,87.197.222.82,X,126.6
672,87.197.222.82,Facebook,194.9
673,87.197.222.82,LinkedIn,200.4
674,159.247.197.49,Facebook,135.0
675,159.247.197.49,Facebook Messenger,177.3
676,159.247.197.49,X,172.1
677,159.247.197.49,Pinterest,120.0
678,159.247.197.49,WhatsApp,187.9
679,159.247.197.49,LinkedIn,161.0
680,12.48.148.168,WhatsApp,211.6
681,12.48.148.168,YouTube,550.7
682,12.48.148.168,WeChat,129.1
683,249.247.68.3,Facebook,99.6
684,249.247.68.3,TikTok,455.2
685,249.247.68.3,Facebook Messenger,88.8
686,249.247.68.3,Instagram,455.4
687,249.247.68.3,QQ,52.2
688,249.247.68.3,Twitch,126.0
689,249.247.68.3,WhatsApp,172.8
690,20.75.26.111,Twitch,91.7
691,20.75.26.111,YouTube,284.4
692,20.75.26.111,LinkedIn,127.4
693,20.75.26.111,TikTok,304.3
694,20.75.26.111,QQ,42.6
695,20.75.26.111,Snapchat,251.3
696,8.155.83.69,Twitch,121.1
697,8.155.83.69,Snapchat,218.8
698,8.155.83.69,X,136.0
699,8.155.83.69,Instagram,345.0
700,8.155.83.69,YouTube,451.2
701,8.155.83.69,WeChat,90.6
702,8.155.83.69,Pinterest,68.3
703,8.155.83.69,TikTok,349.8
704,60.211.5.32,TikTok,356.5
705,60.211.5.32,QQ,52.9
706,4.151.61.125,WhatsApp,248.1
707,4.151.61.125,Twitch,135.2
708,4.151.61.125,Pinterest,43.8
709,4.151.61.125,Facebook,200.2
710,19.117.97.133,YouTube,506.1
711,19.117.97.133,TikTok,287.8
712,19.117.97.133,Snapchat,173.1
713,19.117.97.133,QQ,39.8
714,19.117.97.133,WeChat,105.2
715,19.117.97.133,Facebook,103.4
716,135.20.217.232,WeChat,116.4
717,138.62.210.254,Instagram,285.7
